Cd,T1_Re0.600_M0.00_N9.0, , 
   0.04729946,      1.309584, , 
   0.04849198,      1.309595, , 
    0.0497332,      1.309335, , 
   0.05099834,      1.308938, , 
   0.05232807,      1.308181, , 
   0.05367695,      1.307307, , 
   0.05511252,      1.305902, , 
   0.05656775,      1.304242, , 
   0.05811324,       1.30197, , 
   0.05967406,      1.299559, , 
   0.06132414,      1.296572, , 
     0.062977,      1.293451, , 
   0.06471567,      1.289702, , 
   0.06643359,      1.285777, , 
   0.06812613,      1.282689, , 
   0.06972364,      1.281009, , 
    0.0713639,      1.279072, , 
   0.07306399,      1.276806, , 
   0.07475088,      1.274653, , 
   0.07653864,      1.271958, , 
   0.07828384,      1.269533, , 
   0.08011828,      1.266674, , 
   0.08195481,      1.263828, , 
   0.08377996,      1.261063, , 
   0.08570524,      1.257771, , 
   0.08755776,      1.254842, , 
   0.08947682,      1.251553, , 
   0.09143141,      1.248146, , 
   0.09331133,      1.245234, , 
   0.09531432,      1.241706, , 
   0.09728439,      1.238419, , 
   0.09918585,      1.235554, , 
    0.1012191,      1.232014, , 
    0.1032042,      1.228816, , 
    0.1051081,      1.226047, , 
    0.1071093,      1.222756, , 
    0.1091121,      1.219428, , 
    0.1110073,      1.216727, , 
    0.1129014,      1.214035, , 
     0.114921,      1.210773, , 

